Generation,Best,Worst,Average
537,53,14,42.354166666666664
538,55,16,43.583333333333336
539,53,19,40.020833333333336
540,57,26,44.291666666666664
541,51,16,39.625
542,57,12,39.708333333333336
543,54,24,42.479166666666664
544,52,23,40.854166666666664
545,55,29,42.916666666666664
546,54,25,39.875
547,55,16,41.770833333333336
548,55,12,41.354166666666664
549,54,21,41.333333333333336
550,51,17,40.708333333333336
551,52,23,41.833333333333336
552,56,24,42.520833333333336
553,51,10,41.083333333333336
554,53,17,41.166666666666664
555,54,21,42.458333333333336
556,54,15,41.166666666666664
557,55,19,41.583333333333336
558,53,22,42.666666666666664
559,55,20,40.666666666666664
560,54,16,39.208333333333336
561,53,8,39.541666666666664
562,57,20,42.5
563,55,28,43.0625
564,55,15,42.145833333333336
565,54,25,42.583333333333336
566,53,25,41.1875
567,57,26,44.145833333333336
568,57,22,42.0625
569,53,15,41.4375
570,59,29,44.5
571,54,19,40.375
572,54,31,43.9375
573,56,25,43.333333333333336
574,60,16,40.520833333333336
575,57,21,41.729166666666664
576,58,28,44.333333333333336
577,60,25,42.479166666666664
578,56,25,43.291666666666664
579,54,29,43.708333333333336
580,51,11,42.3125
581,53,29,42.104166666666664
582,52,26,40.8125
583,58,21,41.145833333333336
584,55,25,43.333333333333336
585,56,16,41.729166666666664
586,58,9,41.520833333333336
587,56,27,43.458333333333336
588,53,30,43.791666666666664
589,53,29,42.25
590,59,29,43.041666666666664
591,58,21,42.708333333333336
592,51,29,41.458333333333336
593,58,22,43.520833333333336
594,59,32,43.9375
595,55,27,42.541666666666664
596,57,25,43.458333333333336
597,55,23,42.5
598,51,31,42.729166666666664
599,58,18,42.708333333333336
600,58,18,41.458333333333336
601,54,17,42.604166666666664
602,54,20,40.854166666666664
603,54,26,43.270833333333336
604,54,20,41.604166666666664
605,51,19,40.666666666666664
606,58,25,42.041666666666664
607,55,25,41.458333333333336
608,53,13,42.479166666666664
609,55,26,43.541666666666664
610,56,28,43.270833333333336
611,56,33,44.25
612,59,22,42.541666666666664
613,60,21,43.6875
614,58,15,43.104166666666664
615,61,22,42.208333333333336
616,58,21,43.458333333333336
617,55,15,41.625
618,58,20,41.958333333333336
619,57,26,43.270833333333336
620,54,36,43.270833333333336
621,55,21,42.645833333333336
622,53,17,42.333333333333336
623,53,12,41.666666666666664
624,53,23,42.875
625,60,28,43.354166666666664
626,53,22,43.25
627,54,21,44.645833333333336
628,56,9,41.854166666666664
629,53,27,42.291666666666664
630,57,21,42.604166666666664
631,51,30,43.145833333333336
632,63,26,42.354166666666664
633,55,23,44.6875
634,56,19,44.041666666666664
635,53,23,41.5625
636,53,29,42.541666666666664
637,53,28,44.791666666666664
638,52,25,43.645833333333336
639,55,29,44.770833333333336
640,55,27,43.854166666666664
641,61,14,42.5
642,53,22,43.0625
643,56,29,42.979166666666664
644,63,17,42.833333333333336
645,53,28,43.270833333333336
646,54,21,43.291666666666664
647,57,17,43.25
648,54,23,43.020833333333336
649,54,20,43.729166666666664
650,55,22,42.270833333333336
651,55,16,43.229166666666664
652,53,20,41.875
653,57,20,41.6875
654,54,23,43.229166666666664
655,52,27,42.875
656,52,26,41.354166666666664
657,57,27,44.083333333333336
658,54,25,43.4375
659,52,26,43.25
660,55,25,42.770833333333336
661,56,26,44.979166666666664
662,54,27,42.458333333333336
663,52,22,41.854166666666664
664,54,22,43.541666666666664
665,54,13,41.041666666666664
666,55,26,42.4375
667,51,17,41.3125
668,57,21,43.5
669,52,26,42.3125
670,54,27,42.291666666666664
671,52,24,41.6875
672,51,19,41.020833333333336
673,55,22,40.166666666666664
674,53,29,41.833333333333336
675,52,21,41.333333333333336
676,55,31,44.458333333333336
677,56,30,43.875
678,54,23,43.520833333333336
679,55,20,44.3125
680,56,6,41.916666666666664
681,60,27,44.0
682,53,22,42.666666666666664
683,54,20,42.75
684,53,24,40.958333333333336
685,59,25,44.75
686,55,24,43.75
687,60,22,41.6875
688,57,12,41.333333333333336
689,62,28,45.25
690,51,19,41.791666666666664
691,57,15,41.354166666666664
692,54,21,42.166666666666664
693,51,15,41.5
694,51,27,43.4375
695,52,28,43.041666666666664
696,55,22,43.770833333333336
697,54,27,43.9375
698,51,30,42.625
699,55,11,41.791666666666664
700,57,28,43.479166666666664
701,55,30,43.833333333333336
702,56,23,43.145833333333336
703,58,28,42.9375
704,56,30,42.520833333333336
705,55,20,41.6875
706,57,22,42.416666666666664
