Generation,Best,Worst,Average
223,41,5,28.5625
224,43,11,31.729166666666668
225,44,13,31.583333333333332
226,45,4,29.458333333333332
227,42,7,28.125
228,41,10,29.645833333333332
229,44,16,30.229166666666668
230,47,8,30.833333333333332
231,42,8,31.395833333333332
232,40,12,29.708333333333332
233,44,8,28.520833333333332
234,47,10,29.979166666666668
235,44,7,29.625
236,40,11,29.625
237,44,15,30.458333333333332
238,43,7,31.0625
239,41,9,30.270833333333332
240,45,15,32.041666666666664
241,40,2,28.875
242,42,9,30.125
243,45,9,30.958333333333332
244,41,7,28.75
245,46,13,31.083333333333332
246,44,8,30.270833333333332
247,45,10,29.145833333333332
248,45,10,31.625
249,53,9,31.520833333333332
250,43,14,30.645833333333332
251,44,5,28.083333333333332
252,45,5,32.145833333333336
253,40,9,29.916666666666668
254,43,20,31.8125
255,52,7,30.020833333333332
256,46,10,32.375
257,60,8,31.125
258,47,7,30.458333333333332
259,43,8,28.354166666666668
260,43,10,28.9375
261,51,6,31.354166666666668
262,44,10,30.104166666666668
263,42,12,31.666666666666668
264,45,20,31.9375
265,43,9,30.479166666666668
266,59,7,32.083333333333336
267,49,6,29.541666666666668
268,48,6,30.416666666666668
269,43,9,30.75
270,46,13,31.541666666666668
271,40,8,30.958333333333332
272,44,18,30.854166666666668
273,41,11,29.666666666666668
274,53,3,28.583333333333332
275,48,10,28.958333333333332
276,47,9,29.625
277,50,11,32.958333333333336
278,46,9,30.729166666666668
279,45,8,30.958333333333332
280,48,0,31.541666666666668
281,44,9,30.791666666666668
282,50,7,30.1875
283,57,9,33.0
284,50,5,28.8125
285,51,17,33.0
286,52,9,32.4375
287,52,6,33.020833333333336
288,50,9,33.125
289,58,19,35.583333333333336
290,56,10,32.770833333333336
291,58,3,34.0625
292,52,5,33.895833333333336
293,55,8,33.1875
294,52,16,36.354166666666664
295,55,5,36.0625
296,53,12,39.729166666666664
297,54,9,37.458333333333336
298,52,18,38.583333333333336
299,53,12,35.958333333333336
300,52,9,38.0
301,58,4,34.833333333333336
302,53,8,37.6875
303,54,4,37.979166666666664
304,55,6,39.270833333333336
305,54,11,38.979166666666664
306,62,6,41.708333333333336
307,54,5,40.833333333333336
308,54,6,39.5
309,57,9,38.416666666666664
310,56,11,38.916666666666664
311,52,8,38.833333333333336
312,58,4,39.604166666666664
313,60,8,36.479166666666664
314,58,5,40.479166666666664
315,55,10,40.354166666666664
316,57,8,41.104166666666664
317,56,5,37.104166666666664
318,52,12,38.75
319,53,3,39.458333333333336
320,61,12,40.145833333333336
321,59,8,38.979166666666664
322,56,9,38.875
323,54,5,37.125
324,54,8,36.020833333333336
325,56,7,37.0
326,59,7,39.1875
327,55,8,38.625
328,53,8,38.083333333333336
329,55,9,39.25
330,53,9,40.208333333333336
331,55,6,35.645833333333336
332,54,9,39.791666666666664
333,58,9,38.520833333333336
334,54,9,38.375
335,53,7,37.6875
336,60,10,39.416666666666664
337,58,11,40.166666666666664
338,55,8,38.75
339,54,8,39.4375
340,53,9,40.645833333333336
341,56,10,37.8125
342,57,10,41.458333333333336
343,58,6,38.0625
344,54,10,39.145833333333336
345,54,13,41.020833333333336
346,56,13,42.479166666666664
347,52,6,37.4375
348,54,9,36.666666666666664
349,56,7,38.729166666666664
350,53,7,36.5
351,53,13,40.625
352,51,12,40.958333333333336
353,56,9,41.4375
354,54,10,40.833333333333336
355,59,9,39.479166666666664
356,56,7,42.604166666666664
357,51,11,35.770833333333336
358,56,12,41.208333333333336
359,53,18,40.75
360,55,7,38.104166666666664
361,56,7,39.9375
362,53,8,41.020833333333336
363,55,8,37.833333333333336
364,55,7,38.5625
