Generation,Best,Worst,Average
421,42,9,30.083333333333332
422,43,11,31.395833333333332
423,45,6,30.354166666666668
424,48,6,29.354166666666668
425,42,11,30.8125
426,46,8,30.104166666666668
427,46,6,32.104166666666664
428,40,9,31.6875
429,40,5,29.104166666666668
430,48,2,31.416666666666668
431,44,9,30.958333333333332
432,44,12,30.333333333333332
433,45,5,31.145833333333332
434,43,5,29.145833333333332
435,45,10,29.895833333333332
436,43,7,29.75
437,42,6,30.479166666666668
438,45,9,31.833333333333332
439,42,12,32.375
440,46,4,29.9375
441,43,12,30.395833333333332
442,53,13,31.875
443,46,13,32.333333333333336
444,42,9,31.145833333333332
445,42,10,30.791666666666668
446,40,18,31.375
447,43,8,32.5625
448,46,14,32.1875
449,42,14,31.354166666666668
450,45,11,32.458333333333336
451,48,9,32.333333333333336
452,46,6,31.8125
453,46,15,33.604166666666664
454,44,12,31.354166666666668
455,50,20,33.208333333333336
456,45,11,32.708333333333336
457,43,10,30.270833333333332
458,46,8,30.645833333333332
459,43,11,30.541666666666668
460,46,14,32.375
461,52,9,30.354166666666668
462,54,7,31.75
463,46,4,31.208333333333332
464,48,12,32.041666666666664
465,47,8,30.979166666666668
466,50,9,31.479166666666668
467,49,11,31.875
468,49,9,33.895833333333336
469,56,10,33.75
470,55,17,34.4375
471,52,5,29.916666666666668
472,49,7,31.770833333333332
473,53,8,33.208333333333336
474,56,9,34.5625
475,56,9,33.291666666666664
476,52,19,36.979166666666664
477,56,8,38.208333333333336
478,61,6,40.416666666666664
479,54,7,41.5625
480,57,8,39.854166666666664
481,52,6,39.0
482,57,12,40.833333333333336
483,60,8,39.854166666666664
484,55,12,41.041666666666664
485,50,9,40.25
486,54,9,40.604166666666664
487,55,4,38.125
488,54,6,38.0
489,58,10,38.125
490,53,7,37.791666666666664
491,56,12,40.229166666666664
492,57,19,41.8125
493,54,11,40.166666666666664
494,56,11,40.5
495,57,10,39.5
496,58,7,38.416666666666664
497,52,12,38.75
498,60,5,38.645833333333336
499,54,9,38.166666666666664
500,57,10,40.729166666666664
501,52,6,40.541666666666664
502,54,9,38.25
503,56,11,42.229166666666664
504,55,7,39.5625
505,54,14,43.1875
506,60,8,37.020833333333336
507,57,12,40.333333333333336
508,55,7,38.229166666666664
509,53,10,38.958333333333336
510,53,11,39.395833333333336
511,52,10,40.020833333333336
512,57,6,41.166666666666664
513,54,10,40.354166666666664
514,54,17,39.375
515,57,10,39.416666666666664
516,53,5,41.1875
517,51,19,41.145833333333336
518,54,8,39.541666666666664
519,58,12,40.375
520,59,9,41.166666666666664
521,55,7,39.333333333333336
522,55,12,40.729166666666664
523,51,7,38.104166666666664
524,55,8,39.895833333333336
525,54,5,39.583333333333336
526,53,20,39.833333333333336
527,53,7,38.020833333333336
528,59,13,40.166666666666664
529,63,8,37.291666666666664
530,59,12,39.875
531,53,9,36.4375
532,53,18,43.3125
533,58,9,40.104166666666664
534,57,9,41.0625
535,56,1,39.125
536,57,23,42.229166666666664
537,52,9,39.375
538,51,9,39.833333333333336
539,53,10,40.541666666666664
540,60,8,39.291666666666664
541,52,9,39.895833333333336
542,52,7,37.916666666666664
543,61,14,40.0
544,56,11,38.895833333333336
545,54,7,37.5
546,53,12,38.833333333333336
547,57,7,40.1875
548,55,13,39.583333333333336
549,56,10,41.895833333333336
550,55,5,40.270833333333336
551,54,13,40.4375
552,57,9,37.916666666666664
553,53,5,38.145833333333336
554,54,10,39.104166666666664
555,57,8,39.333333333333336
556,53,6,38.583333333333336
557,59,7,39.145833333333336
558,53,8,39.125
559,59,8,40.041666666666664
560,57,4,40.270833333333336
561,52,8,39.833333333333336
562,54,12,38.5
563,57,10,42.5625
564,55,7,39.479166666666664
565,54,9,40.208333333333336
566,54,11,39.375
567,57,14,41.479166666666664
568,58,9,41.020833333333336
569,57,5,38.3125
570,57,11,42.145833333333336
571,55,6,38.6875
572,54,6,38.916666666666664
573,59,4,39.729166666666664
574,54,6,41.1875
575,54,6,37.75
576,53,25,41.729166666666664
577,56,12,39.541666666666664
578,56,5,39.625
579,57,8,39.708333333333336
580,58,11,40.895833333333336
581,62,9,38.895833333333336
582,55,8,39.645833333333336
583,57,9,38.645833333333336
584,53,10,39.520833333333336
585,54,12,39.395833333333336
586,53,12,40.0
587,55,8,40.145833333333336
588,57,8,39.8125
589,58,10,39.041666666666664
590,55,7,40.75
591,53,9,39.791666666666664
592,53,12,40.125
593,55,10,39.916666666666664
594,53,6,40.1875
595,53,7,41.25
596,54,4,40.875
597,56,6,40.0
598,53,8,39.833333333333336
599,55,6,40.479166666666664
600,53,10,38.416666666666664
601,57,7,39.4375
602,55,4,39.583333333333336
603,57,6,41.041666666666664
604,53,9,41.270833333333336
605,58,9,37.520833333333336
606,53,28,43.8125
607,56,7,39.8125
608,54,8,39.020833333333336
609,54,13,42.166666666666664
610,55,11,39.458333333333336
611,56,9,40.916666666666664
612,52,8,40.416666666666664
613,54,10,38.208333333333336
614,53,24,42.333333333333336
615,59,7,39.958333333333336
616,60,7,41.0625
617,53,8,40.145833333333336
618,54,9,38.166666666666664
619,54,8,35.8125
620,55,11,40.375
621,57,9,37.458333333333336
622,57,10,42.666666666666664
623,54,8,37.708333333333336
624,55,13,39.104166666666664
625,56,9,39.333333333333336
626,51,10,38.104166666666664
627,57,9,38.270833333333336
628,56,8,39.75
629,55,7,41.083333333333336
630,52,7,39.666666666666664
631,51,8,40.375
632,56,8,39.770833333333336
633,53,11,42.604166666666664
634,57,12,40.125
635,59,7,40.875
636,58,13,43.020833333333336
637,58,11,37.229166666666664
638,55,13,36.3125
639,52,14,39.770833333333336
640,58,10,40.5625
641,54,5,39.145833333333336
642,58,14,41.895833333333336
643,50,6,38.395833333333336
644,51,27,43.541666666666664
645,53,22,40.854166666666664
646,54,12,40.020833333333336
647,53,7,41.520833333333336
648,54,5,40.895833333333336
649,55,9,41.125
650,54,8,42.166666666666664
651,56,10,41.0625
652,56,13,39.833333333333336
653,54,8,41.270833333333336
654,55,9,39.9375
655,57,12,41.0625
656,56,9,41.166666666666664
657,57,22,42.916666666666664
658,53,6,40.270833333333336
659,52,8,39.354166666666664
660,57,8,41.083333333333336
661,59,9,42.0
662,52,8,40.75
663,52,14,40.520833333333336
664,55,8,41.333333333333336
665,56,20,42.25
666,54,9,38.729166666666664
667,52,8,40.395833333333336
668,52,10,37.604166666666664
669,51,7,38.375
670,54,22,41.1875
671,54,9,41.208333333333336
672,53,10,40.041666666666664
673,53,12,40.4375
674,50,6,38.729166666666664
675,54,8,39.833333333333336
676,53,14,41.4375
677,58,14,41.4375
678,54,9,40.645833333333336
679,53,15,40.416666666666664
680,54,7,40.729166666666664
681,52,8,39.958333333333336
682,55,10,39.645833333333336
683,56,8,38.520833333333336
684,59,9,41.6875
685,56,24,43.833333333333336
686,57,5,38.166666666666664
687,53,17,39.875
688,58,5,40.354166666666664
689,55,11,40.541666666666664
690,52,16,43.104166666666664
691,51,9,40.25
692,54,21,41.3125
693,56,11,41.145833333333336
694,56,17,41.25
695,51,10,40.104166666666664
696,56,9,42.104166666666664
697,57,8,42.0
698,56,17,42.583333333333336
699,55,16,39.708333333333336
700,57,9,40.854166666666664
701,55,6,40.3125
702,56,9,39.541666666666664
703,56,6,38.979166666666664
704,50,8,39.583333333333336
705,55,9,37.479166666666664
706,53,25,41.729166666666664
707,55,27,43.291666666666664
708,52,7,37.770833333333336
709,57,32,44.145833333333336
710,56,13,40.395833333333336
711,52,5,41.604166666666664
