Generation,Best,Worst,Average
529,49,19,34.6875
530,43,20,30.5
531,39,22,33.0
532,40,25,32.25
533,42,19,32.6875
534,36,17,28.0
535,41,23,33.0
536,39,27,32.0
537,41,19,33.3125
538,45,24,34.125
539,45,24,33.5
540,41,26,32.75
541,49,23,32.625
542,41,22,31.8125
543,40,26,32.75
544,40,19,31.0625
545,42,18,32.0
546,43,19,30.75
547,42,28,33.8125
548,39,24,31.6875
549,43,22,34.375
550,44,23,31.4375
551,40,23,32.25
552,38,21,31.0625
553,39,22,32.1875
554,42,26,34.625
555,39,20,30.5
556,37,14,30.625
557,41,26,33.375
558,41,20,31.1875
559,39,11,32.25
560,40,22,32.625
561,42,19,34.125
562,37,16,30.875
563,39,23,32.5625
564,42,8,30.8125
565,38,9,28.375
566,42,19,29.1875
567,41,20,32.8125
568,47,23,34.6875
569,40,19,31.375
570,40,24,34.6875
571,41,25,32.0625
572,41,27,35.1875
573,41,26,34.25
574,45,20,31.4375
575,41,25,34.25
576,42,24,33.4375
577,38,21,31.5625
578,42,22,32.8125
579,49,12,33.25
580,41,25,33.8125
581,37,21,31.75
582,45,28,33.875
583,37,18,30.5625
584,39,20,32.125
585,42,25,32.6875
586,43,23,33.5
587,38,21,30.4375
588,46,23,33.0625
589,43,21,29.9375
590,41,27,33.3125
591,42,23,33.25
592,42,27,34.0625
593,42,22,32.5
594,41,25,33.25
595,41,13,32.9375
596,41,28,33.625
597,39,27,32.625
598,39,20,31.0625
599,45,30,35.5
600,41,22,33.5
601,40,24,31.5
602,41,23,33.0625
603,39,28,31.625
604,40,23,31.1875
605,42,22,33.0
606,41,22,32.125
607,41,11,31.5625
608,40,26,33.3125
609,44,21,32.3125
610,44,23,33.5625
611,36,22,32.625
612,45,18,33.8125
613,45,20,33.5
614,43,23,31.875
615,39,25,32.8125
616,42,27,35.3125
617,42,26,33.9375
618,40,18,29.6875
619,41,21,33.0625
620,39,27,34.625
621,45,25,34.875
622,38,23,34.0625
623,42,22,30.5625
624,42,29,35.375
625,38,25,30.5625
626,44,17,31.0625
627,39,25,31.125
628,41,18,32.3125
629,43,23,33.8125
630,44,30,34.8125
631,43,17,30.9375
632,42,21,33.625
633,40,24,33.75
634,39,24,31.75
635,42,25,33.0625
636,41,28,34.5625
637,42,27,34.5625
638,38,19,31.9375
639,43,27,34.0
640,40,20,30.8125
641,44,32,35.3125
642,40,27,33.875
643,44,26,34.5625
644,46,27,33.8125
645,38,23,30.625
646,43,14,29.5
647,38,16,30.3125
648,44,5,30.375
649,40,22,32.0625
650,40,9,30.75
651,38,21,31.8125
652,43,16,30.625
653,45,20,32.75
654,47,25,33.625
655,43,23,34.0
656,42,3,32.0625
657,40,14,29.8125
658,44,28,33.0
659,44,27,33.9375
660,40,25,33.3125
661,46,10,33.1875
662,43,24,32.6875
663,39,19,29.625
664,37,24,31.25
665,42,25,34.1875
666,42,22,31.625
667,41,10,31.3125
668,40,15,29.4375
669,44,17,31.5
670,39,23,32.3125
671,44,24,32.875
672,42,27,32.25
673,43,25,33.4375
674,41,13,32.25
675,39,24,33.125
676,43,26,33.5625
677,42,24,33.9375
678,37,21,31.75
679,41,21,31.4375
680,42,17,33.5
681,38,27,32.9375
682,44,21,33.0625
683,39,23,32.9375
684,42,25,32.9375
685,41,23,31.75
686,39,22,32.125
687,43,12,31.6875
688,44,28,35.125
689,42,21,31.5
690,40,20,30.5
691,48,20,32.75
692,38,16,30.6875
693,42,17,30.875
694,42,25,32.9375
695,43,21,31.75
696,37,24,30.75
697,44,27,33.375
698,43,25,32.5
699,37,20,31.0
700,41,9,32.375
701,40,8,28.875
702,38,24,31.0
703,43,19,30.0
704,43,18,31.5
705,41,26,33.1875
706,41,25,34.4375
707,39,25,33.0625
708,42,19,31.0625
709,40,27,34.6875
710,39,11,29.5
711,41,26,32.1875
712,43,23,31.5
713,42,13,32.125
714,43,27,33.6875
715,42,17,30.125
716,42,26,34.25
717,39,15,30.25
718,43,16,30.125
719,40,27,33.375
720,45,25,33.8125
721,43,21,32.1875
722,38,16,31.0625
723,40,19,31.875
724,40,17,30.4375
725,43,16,32.3125
726,43,26,34.1875
727,39,19,31.8125
728,40,17,32.0
729,41,23,32.8125
730,37,23,30.4375
731,39,21,31.5625
732,51,25,32.0625
733,39,21,31.3125
734,40,18,31.0625
735,42,26,33.6875
736,40,22,32.625
737,45,17,34.0625
738,41,24,33.0
739,42,23,33.875
740,38,26,32.75
741,42,26,34.625
742,43,30,35.6875
743,38,25,32.5625
744,44,28,33.5
745,41,25,33.0
746,40,27,32.9375
747,40,29,33.8125
748,41,28,34.3125
749,46,25,31.4375
750,44,28,35.875
751,42,28,33.25
752,39,20,32.5625
753,44,20,33.0
754,43,18,33.0625
755,47,27,36.25
756,37,23,30.125
757,46,29,34.75
758,41,27,33.5625
759,40,27,33.8125
760,40,22,32.9375
761,47,21,32.75
762,41,17,33.1875
763,37,25,32.1875
764,40,19,32.5625
765,40,21,32.9375
766,39,13,29.3125
767,41,12,32.125
768,42,11,32.125
769,40,28,35.25
770,38,24,32.125
771,41,27,33.4375
772,37,25,32.1875
773,45,27,32.5
774,39,25,31.8125
775,41,24,34.125
776,38,21,30.375
777,41,24,32.5625
778,43,19,33.0625
779,38,28,33.8125
780,39,25,31.875
781,43,5,29.25
782,37,23,29.5625
783,39,25,32.0625
784,40,21,30.6875
785,39,25,31.3125
786,42,22,33.1875
787,39,22,30.8125
788,45,23,31.0625
789,42,21,31.875
790,44,9,31.875
791,41,17,32.625
792,41,15,31.25
793,44,19,30.5625
794,43,12,29.9375
795,39,18,29.0625
796,42,20,33.1875
797,38,14,29.25
798,42,28,33.4375
799,39,26,34.125
800,40,15,30.9375
801,42,18,32.0625
802,42,31,36.0
803,45,29,35.0
804,41,22,33.9375
805,40,16,33.125
806,41,21,32.8125
807,38,27,31.875
